Source,Target,Type,Id,Label,Weight
Carne de Panela,salsa desidratada,Undirected,127,,1
Frango Assado com Batatas (simples),batatas,Undirected,128,,1
Bolo de Chocolate Molhado,açúcar em pó,Undirected,129,,1
Torta de Frango de Liquidificador,palmito,Undirected,130,,1
Bolo de Fubá com Compota de Goiaba,goiaba vermelha,Undirected,131,,1
Salmão ao Molho de Alcaparras,alcaparra,Undirected,132,,1
Frango com Quiabo,quiabo,Undirected,133,,1
Frango com Quiabo,frango inteiro,Undirected,134,,1
Manjar de Coco com Calda de Ameixa,leite,Undirected,135,,1
Brigadeirão Cremoso,leite de vaca,Undirected,136,,1
Frango Assado com Batatas (simples),frango em pedaços,Undirected,137,,1
Esfiha Aberta Tipo Habib's,água morna,Undirected,138,,1
Empadão de Frango,leite,Undirected,139,,1
Gratinado de Frango,molho de tomate,Undirected,140,,1
Croquete de Carne,carne moída cozida,Undirected,141,,1
Salada de Maionese Simples,cenouras,Undirected,142,,1
Torta de Frango Gratinada,clara,Undirected,143,,1
Bobó de Camarão,água,Undirected,144,,1
Frango à Passarinho de Forno,alho,Undirected,145,,1
Quindim Fácil,coco ralado seco,Undirected,146,,1
Strogonoff de Carne,água fervente,Undirected,147,,1
Empadão de Frango,água fervente,Undirected,148,,1
Salada de Maionese Simples,aji-no-moto,Undirected,149,,1
Sopa de Cebola,cebola fatiada,Undirected,150,,1
Frango Assado com Batatas (simples),molho de tomate,Undirected,151,,1
Salada de Grão de Bico e Atum,grão de bico cozido,Undirected,152,,1
Enroladinho de Salsicha Fácil,água,Undirected,153,,1
Empadão de Frango,manteiga,Undirected,154,,1
Enroladinho de Salsicha Fácil,óleo de milho,Undirected,155,,1
Mousse de Chocolate Vegano,abacate,Undirected,156,,1
Maminha na Cerveja Preta,cerveja preta,Undirected,157,,1
Risoto de Cogumelos (vegetariano),manteiga,Undirected,158,,1
Torta de Liquidificador de Legumes,sal,Undirected,159,,1
Bobó de Camarão,sementes de coentro,Undirected,160,,1
Cuscuz Marroquino com Legumes,abóbora japonesa,Undirected,161,,1
Isca de Peixe,filé de cação,Undirected,162,,1
Bolinho de Chuva,farinha de trigo,Undirected,163,,1
Sopa de Tomate com Manjericão,rum,Undirected,164,,1
Couve-Flor Gratinada,cheiro-verde,Undirected,165,,1
Costela na Panela de Pressão,costela bovina,Undirected,166,,1
Caldo Verde,caldo de bacon,Undirected,167,,1
Manjar de Coco com Calda de Ameixa,maisena,Undirected,168,,1
Bife à Parmegiana,alho,Undirected,169,,1
Carne Louca de Festa,miolo de acém,Undirected,170,,1
Bobó de Camarão,cascas e cabeças de camarão,Undirected,171,,1
Moqueca de Peixe com Pirão,farinha de mandioca,Undirected,172,,1
Sopa de Mandioquinha com Carne Seca,sal,Undirected,173,,1
Sopa de Cebola,alho,Undirected,174,,1
Ratatouille no Forno,alho,Undirected,175,,1
Lasanha de Berinjela,azeitonas sem caroço,Undirected,176,,1
Feijoada Vegetariana,sal,Undirected,177,,1
Coxinha de Frango com Catupiri,colorífico,Undirected,178,,1
Maminha na Cerveja Preta,molho de tomate,Undirected,179,,1
Peixe ao Forno com Legumes,pimentão amarelo,Undirected,180,,1
Bolo de Fubá com Compota de Goiaba,sal,Undirected,181,,1
Salmão ao Molho de Alcaparras,filé de salmão,Undirected,182,,1
Torta de Frango de Liquidificador,fermento químico em pó,Undirected,183,,1
Petisco de Peixe,peixe (tilápia) grelhado desfiado,Undirected,184,,1
Bobó de Camarão,alho,Undirected,185,,1
Empadinha de Frango,cravo-da-índia,Undirected,186,,1
Torta de Frango Gratinada,frango desfiado,Undirected,187,,1
Pão de Queijo de Liquidificador,sal,Undirected,188,,1
Ratatouille no Forno,cenoura,Undirected,189,,1
Moqueca de Peixe com Pirão,pimentão,Undirected,190,,1
Manjar de Coco com Calda de Ameixa,ameixas pretas,Undirected,191,,1
Cuscuz Marroquino com Legumes,pimenta chilli,Undirected,192,,1
Moqueca de Banana-da-Terra,pimentão verde,Undirected,193,,1
Canja de Galinha Nutritiva,salsa picada,Undirected,194,,1
Salmão ao Molho de Alcaparras,alho,Undirected,195,,1
Salada de Maionese Simples,páprica,Undirected,196,,1
Lasanha de Berinjela,queijo mussarela fatiado,Undirected,197,,1
